,level,keep_close_control_step
0,0,6.5
1,1,6.65
2,2,6.75
3,3,6.6
4,4,6.9
5,5,6.6
6,6,7.0
7,7,6.65
8,8,6.9
9,9,6.6
10,10,6.9
11,11,7.0
12,12,6.55
13,13,6.75
14,14,6.95
15,15,6.65
16,16,7.0
17,17,6.65
18,18,6.4
19,19,6.4
20,20,6.95
21,21,6.65
22,22,6.7
23,23,6.4
24,24,7.0
25,25,6.45
26,26,6.85
27,27,6.9
28,28,6.95
29,29,6.5
30,30,6.35
31,31,6.75
32,32,6.95
33,33,6.65
34,34,6.95
35,35,7.0
36,36,7.0
37,37,7.0
38,38,7.0
39,39,7.0
40,40,7.0
41,41,7.0
42,42,7.0
43,43,7.0
44,44,7.0
45,45,7.0
46,46,7.0
47,47,7.0
48,48,7.0
49,49,7.0
50,50,7.0
51,51,7.0
52,52,7.0
53,53,7.0
